name,number,reference,citation,dvalue,newk,newknum,refage,C&D,C&D_p,K&D,K&D_p,K&C,K&C_p,K&A,K&A_p,D&A,D&A_P
geotechnical_engineering,121546,17.877,26.065,0.078,0.145,0.183,-13.567,-0.1004710829633007,3.814348530243316e-270,0.028309897492343552,5.52299099248788e-23,0.025337040586478916,1.003732937113123e-18,0.054683369089392427,3.80405663509869e-81,-0.015538158858924567,6.046883426690914e-08
econometrics,160533,24.532,59.938,0.019,0.156,0.204,-12.521,-0.02027269364615203,4.535100519007557e-16,0.03265576242353131,3.8852213678444964e-39,0.03364651421215288,1.9240284492617362e-41,0.09507001723163655,6.65576e-319,-0.012130333977795204,1.1717859996709355e-06
actuarial_science,51425,25.49,42.231,0.052,0.267,0.372,-9.918,-0.054556089360046085,3.326453607024341e-35,0.019890856014923596,6.452207660620545e-06,0.06565215400457197,3.117760481159937e-50,0.05203743759721588,3.5370129922636205e-32,0.0317541394914069,5.909544027245109e-13
physical_geography,13778,29.766,45.455,0.041,0.412,0.695,-11.361,-0.05932027601867887,3.203318693501351e-12,0.020096673225806695,0.018325925828827017,-0.008397591909059515,0.32431226613020786,-0.023836987152313752,0.005140058235988072,-0.07766107206535616,6.926457363212739e-20
literature,27513,21.077,17.768,0.167,0.219,0.293,-18.918,-0.015492259932100872,0.01017733139738516,0.00799031434487572,0.18506575932614105,0.032570549874808,6.528764459633346e-08,0.029353855887490305,1.117311633586666e-06,-0.06905261117291481,1.9334461080006603e-30
natural_language_processing,71424,23.347,39.227,0.049,0.193,0.255,-7.899,-0.04160884438322686,9.512701849777192e-29,0.011992532954125541,0.0013501751633973138,0.04462532376929287,8.063934864658294e-33,-0.005721831741181706,0.12622461681369815,0.013415500849537949,0.00033652678866024174
cognitive_science,22517,45.453,58.296,0.037,0.377,0.557,-12.536,-0.04241590355791293,1.923837977687172e-10,-0.005953906070188051,0.3716528774913993,0.05440285724087597,3.1067961681781214e-16,0.03715686714489566,2.4434845447292477e-08,-0.04858382233223711,3.0037533546288767e-13
market_economy,17262,25.812,37.433,0.099,0.319,0.443,-10.161,-0.04715083196371404,5.721884784481427e-10,0.00234731434943365,0.757793332028466,0.04576193925337142,1.7972583932008328e-09,-0.0027888049050253452,0.7140807075464242,0.01277652549596754,0.09323200362399277
soil_science,35233,30.071,38.035,0.03,0.251,0.363,-12.321,-0.058666818902101445,3.02236996251354e-28,0.04211872349480161,2.5924536708002918e-15,0.004708788241472353,0.3767855364213638,0.06911155669001241,1.4382307849202907e-38,-0.039974386678323134,6.091104946400366e-14
microeconomics,113646,25.444,65.84,0.023,0.175,0.226,-11.464,-0.03458755001937034,1.9624706215437375e-31,0.030481845964141996,8.841838968728192e-25,0.08477163030265411,2.931475950674314e-180,0.06365334083422666,2.395361470901001e-102,0.02229220719772123,5.6533126867100514e-14
pedagogy,248651,24.576,33.281,0.086,0.082,0.095,-10.366,-0.07685919595471769,2.57e-322,0.026333841614214332,2.114766598037029e-39,0.020234134387668728,6.072454211481816e-24,0.021020077178813677,1.0368467424600797e-25,-0.015326768113291462,2.120684101159986e-14
audiology,73093,28.295,36.374,0.019,0.278,0.373,-11.157,-0.05001456435161942,1.039779767547515e-41,0.023635205839875852,1.6509485061117296e-10,0.029285593702933592,2.3917193641064374e-15,0.03437049855897299,1.4734757036938912e-20,-0.025930858618090382,2.3551942333431745e-12
agricultural_economics,26107,20.767,33.085,0.099,0.285,0.394,-9.917,-0.10136546251317927,1.3800098616857742e-60,0.016826824482137778,0.006550267329714358,0.026236466072847527,2.2379283113328303e-05,0.01080577716488229,0.08082343209184994,-0.017674299025539224,0.004292319420519452
world_wide_web,147766,24.764,38.721,0.154,0.155,0.201,-5.542,-0.07962827297361588,2.0794752553881644e-206,-0.028705100857661082,2.547077407228384e-28,0.06746740546186192,1.2613546696439411e-148,-0.024649440115592426,2.6247940950981426e-21,0.014703519429576616,1.5827712906848722e-08
aerospace_engineering,35755,14.649,20.322,0.097,0.2,0.257,-11.113,-0.09356738965252472,2.419557459201632e-70,0.030461213412943708,8.359525584264806e-09,0.0286621486039403,5.938350791823765e-08,0.05691583123675408,4.740834393439853e-27,-0.0025480482409256204,0.6299521570034592
veterinary_medicine,66677,22.461,26.605,0.034,0.337,0.515,-11.354,-0.06300606394159301,1.2565096765633844e-59,0.0265636932799884,6.8701890282874505e-12,0.00862235833801671,0.02598368500343207,-0.014862587254229238,0.00012407031437769014,-0.055944365698974916,2.2663992568302123e-47
management_science,54820,32.751,53.102,0.061,0.3,0.417,-10.363,-0.03136998030442286,2.0345741935121828e-13,0.03016692702914684,1.610424680207445e-12,0.027324053195985812,1.5679502282212364e-10,0.060148923871823065,4.0469817331110054e-45,-0.025100564247348918,4.1586640627842995e-09
mathematical_analysis,445838,17.853,28.988,0.021,0.059,0.072,-13.66,-0.029387058340582688,9.22867031431308e-86,0.0339917845702775,4.1668261998667806e-114,0.059202392655070255,0.0,0.05905993755040906,0.0,-0.031183611145936683,2.4824454561744853e-96
climatology,123538,36.531,49.279,0.013,0.132,0.183,-9.787,-0.033073298969133504,2.981686169029014e-31,0.04043313881884926,7.176756230114134e-46,0.010382098147947083,0.0002631007839970258,-0.011211711731606788,8.121933115517283e-05,-0.045396956062807296,2.2701127256222757e-57
nuclear_chemistry,80710,18.287,25.09,0.111,0.199,0.255,-10.453,-0.11742101753789724,1.1496062246086835e-245,-0.01250573602828452,0.00038100687866134825,0.020408238592761144,6.695312680442248e-09,0.021503955328585504,9.976909738144086e-10,-0.03998962507483336,6.230399512490133e-30
accounting,36913,32.988,49.459,0.053,0.26,0.419,-10.667,-0.0691022173464088,2.5801060293072586e-40,0.02993401597825905,8.806674618941337e-09,0.039765328252204295,2.1258172876032222e-14,0.02538583108304851,1.07200227316351e-06,0.024331307036990234,2.935979362617301e-06
biomedical_engineering,125298,39.373,46.424,0.062,0.243,0.326,-9.322,-0.08895534959415496,1.7830684184457595e-218,0.011348425569756094,5.890788273007917e-05,0.008684977804646055,0.0021100517971158472,0.0022877751209284996,0.41805098944797503,-0.0241936988296724,1.0796108467815349e-17
gerontology,124815,31.098,51.508,0.038,0.171,0.221,-8.698,-0.04774656214125472,6.541003128320959e-64,0.03408959543337215,2.0125898774527682e-33,0.012627146990745335,8.150238701471175e-06,-0.036143973230797946,2.308165851070622e-37,-0.039098980747682754,1.971645326820452e-43
neoclassical_economics,3249,26.444,31.031,0.072,0.541,0.958,-16.669,-0.05955175193029278,0.0006833892158841346,-0.06977547137140988,6.876370485856825e-05,0.05294454317679461,0.0025378219836582803,-0.0009466249058430092,0.9569854624117803,0.04272524493700116,0.014870651832513244
physical_medicine_and_rehabilitation,81431,32.764,40.741,0.024,0.236,0.324,-10.306,-0.052722846795591465,3.1868268215612604e-51,0.031213342019581338,5.144394003370163e-19,0.03047258411009841,3.39041019058674e-18,-0.006548650187269492,0.061661521208670945,-0.018652383369911447,1.0204316533411183e-07
ethnology,22629,20.488,21.139,0.177,0.303,0.45,-14.108,-0.08221499305731375,3.041154028409899e-35,-0.061822459809141125,1.298885510682409e-20,0.0776525013146151,1.3012617930798214e-31,-0.01463877966070249,0.027658318589641826,-0.0003018204106466863,0.9637883599452354
agronomy,232324,25.529,29.108,0.05,0.129,0.166,-12.058,-0.07853796936962372,1.53236305e-314,0.016970707658519935,2.82841838152573e-16,0.0073768049806770975,0.0003770468362764731,0.020371855648185673,9.215997917664826e-23,-0.032728503815198984,4.320832623916322e-56
optometry,16662,25.712,32.789,0.036,0.364,0.542,-10.481,-0.06436281122469095,9.09515581340751e-17,0.04804674895941426,5.46766003883025e-10,0.007447684866292333,0.3364020669065169,-0.005619595350274358,0.46824569824827067,-0.05542084713866757,8.140763412337838e-13
